country,season,name,price,score,review_label,review_count,facility_size_m2,num_bedrooms,facility_type
Algeria,July_Summer,El Ghanami Hotel,TND 286,7.2,Good,149 reviews,N/A,N/A,N/A
Algeria,July_Summer,City Hotel Alger,TND 295,8.0,Very Good,189 reviews,N/A,N/A,N/A
Algeria,July_Summer,M Suite Hotel,TND 389,8.9,Excellent,341 reviews,N/A,N/A,N/A
Algeria,July_Summer,Hotel El Biar,TND 163,5.7,Scored 5.7,52 reviews,N/A,N/A,N/A
Algeria,July_Summer,AZ Hôtels Kouba,TND 401,7.9,Good,265 reviews,N/A,N/A,N/A
Algeria,July_Summer,Algiers Marriott Hotel Bab Ezzouar,TND 916,7.2,Good,104 reviews,N/A,N/A,N/A
Algeria,July_Summer,SAMIR HOTEL,TND 183,8.6,Excellent,12 reviews,N/A,N/A,N/A
Algeria,July_Summer,Hôtel Sidi Yahia,TND 421,8.1,Very Good,582 reviews,N/A,N/A,N/A
Algeria,July_Summer,SuperF2Scala,TND 249,8.8,Excellent,24 reviews,N/A,1,Apartment
Algeria,September_LowSeason,Atlantis Alger Chevalley,TND 349,8.9,Excellent,"1,121 reviews",N/A,N/A,N/A
Algeria,September_LowSeason,AFRIC HOTEL- Casbah,TND 147,7.2,Good,"1,731 reviews",N/A,N/A,N/A
Algeria,September_LowSeason,Hotel Ain benian,TND 295,7.3,Good,206 reviews,N/A,N/A,N/A
Algeria,September_LowSeason,Mercure Alger Palais Des Congres,TND 432,8.4,Very Good,229 reviews,N/A,N/A,N/A
Algeria,September_LowSeason,Numidien Hotel,TND 240,6.3,Scored 6.3,510 reviews,N/A,N/A,N/A
Algeria,September_LowSeason,Lamaraz Hotels,TND 775,8.8,Excellent,873 reviews,N/A,N/A,N/A
Algeria,September_LowSeason,Sofitel Algiers Hamma Garden,TND 609,7.6,Good,723 reviews,N/A,N/A,N/A
Algeria,September_LowSeason,Baileche,TND 196,10,Exceptional,1 review,56,1,Apartment
Algeria,September_LowSeason,Atlantis Alger Aéroport ex Ibis,TND 458,8.6,Excellent,48 reviews,N/A,N/A,N/A
Algeria,September_LowSeason,Hotel Best Night,TND 295,7.9,Good,484 reviews,N/A,N/A,N/A
Algeria,September_LowSeason,Holiday Inn Algiers - Cheraga Tower by IHG,TND 386,7.5,Good,595 reviews,N/A,N/A,N/A
Algeria,September_LowSeason,Hotel Rais,TND 299,7.2,Good,71 reviews,N/A,N/A,N/A
Algeria,September_LowSeason,Hôtel Printania,TND 382,9.1,Wonderful,44 reviews,N/A,N/A,N/A
Algeria,September_LowSeason,Golden Tulip Opera Alger,TND 353,8.5,Very Good,346 reviews,N/A,N/A,N/A
Algeria,September_LowSeason,Apartment Gilbert,TND 196,10,Exceptional,3 reviews,70,1,Apartment
Algeria,September_LowSeason,AD HOTEL HYDRA,TND 526,7.8,Good,547 reviews,N/A,N/A,N/A
Algeria,September_LowSeason,Golden Tulip Royaume,TND 524,6.5,Scored 6.5,150 reviews,N/A,N/A,N/A
Algeria,September_LowSeason,El Ghanami Hotel,TND 286,7.2,Good,149 reviews,N/A,N/A,N/A
Algeria,September_LowSeason,City Hotel Alger,TND 295,8.0,Very Good,189 reviews,N/A,N/A,N/A
