country,city,season,checkin,checkout,name,price,score,review_label,review_count,location
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Hotel karim Tunis,TND 146,9.1,Wonderful,129 reviews,0.9 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Dar Ben Gacem,TND 339,9.0,Wonderful,528 reviews,1.7 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,El Mouradi Hotel Africa Tunis,TND 283,7.5,Good,"1,956 reviews",300 m from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,"Radisson Blu Hotel & Convention Center, Tunis",TND 425,8.6,Excellent,"1,013 reviews",0.9 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,"Radisson Hotel Tunis, City Center",TND 414,8.8,Excellent,593 reviews,150 m from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Hotel Carlton,TND 279,8.4,Very Good,"3,290 reviews",250 m from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Nomads Hostel Tunisia,TND 119,8.7,Excellent,986 reviews,2 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,"The 18, Marsa Guest House",TND 119,8.8,Excellent,219 reviews,16.3 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Villa Belvedere,TND 229,9.5,Exceptional,213 reviews,2 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Ain Zaghouen Tunis proche Aeroport - luxueux style parisien,TND 139,8.5,Very Good,30 reviews,10.1 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Concorde Les Berges du Lac,TND 476,8.0,Very Good,"1,104 reviews",5.7 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,The NINE Lifestyle Experience,TND 544,9.1,Wonderful,286 reviews,13.2 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Concorde Paris,TND 382,8.0,Very Good,"1,038 reviews",5.9 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Dar El Jeld Hotel and Spa,TND 670,9.5,Exceptional,791 reviews,1.6 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Sheraton Tunis Hotel,TND 550,8.5,Very Good,661 reviews,4.1 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,L'Orchidée - Suites de Luxe avec Piscine Chauffée et Vue sur le Lac de Tunis,TND 447,9.6,Exceptional,190 reviews,9.2 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,NEFISSA Résidence,TND 114,8.0,Very Good,43 reviews,9.5 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Downtown Tunis Hotel,TND 177,8.1,Very Good,"1,438 reviews",2.3 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Marigold Hotel,TND 314,8.2,Very Good,"2,412 reviews",2 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Hotel Royal ASBU Tunis,TND 480,8.0,Very Good,686 reviews,5.5 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Dar El Médina,TND 364,9.0,Wonderful,"1,324 reviews",1.5 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Golden Tulip El Mechtel,TND 372,8.1,Very Good,"1,963 reviews",1.9 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Hôtel LE CONSUL,TND 322,8.3,Very Good,192 reviews,1.9 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Kyriad Prestige City Center Tunis,TND 341,8.6,Excellent,620 reviews,1 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Le National,TND 172,7.7,Good,"1,028 reviews",1.8 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Mövenpick Hotel du Lac Tunis,TND 671,8.2,Very Good,748 reviews,6.8 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Royal Victoria - Ex British Embassy,TND 282,8.2,Very Good,"1,344 reviews",0.9 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,"Hotel Lac Leman, LES BERGES DU LAC",TND 403,7.0,Good,418 reviews,6.9 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Tunis Marriott Hotel,TND 554,8.4,Very Good,467 reviews,5.4 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Dar Ben Gacem Kahia,TND 310,8.6,Excellent,547 reviews,1.7 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Hôtel Suisse Tunis,TND 189,8.7,Excellent,"2,573 reviews",0.7 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Dar Corniche La Marsa (Adults Only),TND 448,9.5,Exceptional,361 reviews,16.4 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Victoria,TND 146,8.4,Very Good,69 reviews,16 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,El Oumara Hotel,TND 188,8.0,Very Good,"1,002 reviews",0.6 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Hotel AL KARMEL,TND 135,6.9,Scored 6.9,"1,515 reviews",1.7 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Le Corail Suites Hotel,TND 606,8.5,Very Good,"1,217 reviews",9.6 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Acropole Tunis,TND 379,7.6,Good,"1,663 reviews",6.1 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,My Second Home,TND 116,7.5,Good,43 reviews,10 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Dar El Kif - La Marsa,TND 322,8.9,Excellent,341 reviews,15.4 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Golf Royal Hotel,TND 250,8.0,Very Good,"2,986 reviews",250 m from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Signiature aparttement,TND 143,9.8,Exceptional,8 reviews,10.3 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,HOTEL LAFAYETTE,TND 193,7.6,Good,"1,072 reviews",1.5 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Hotel Afef,TND 85,5.5,Scored 5.5,193 reviews,1 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,La Maison de haut,TND 312,9.9,Exceptional,20 reviews,1.5 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Plaza la marsa,TND 169,6.5,Scored 6.5,191 reviews,16.2 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Hotel Métropole Résidence,TND 120,7.7,Good,450 reviews,0.8 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Ariha Hotel,TND 176,7.2,Good,157 reviews,2.2 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Seven Floors,TND 281,8.6,Excellent,107 reviews,10.3 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Hotel Tiba,TND 217,8.2,Very Good,931 reviews,0.5 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Ibis Tunis,TND 275,7.5,Good,541 reviews,1.2 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Hôtel le calife,TND 122,7.8,Good,"1,158 reviews",1.1 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,La Chambre bleue,TND 254,9.4,Wonderful,105 reviews,1.4 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,"Private rooms in authentic apartment in Old town of Tunis, near Medina",TND 142,8.9,Excellent,204 reviews,0.8 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,MAIA HOTEL SUITES,TND 263,8.8,Excellent,"1,482 reviews",6.5 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Novotel Tunis Lac,TND 577,8.9,Excellent,308 reviews,9.8 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Hôtel Résidence Le Consul,TND 305,7.6,Good,88 reviews,1.7 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Hôtel des Alliés,TND 102,5.8,Scored 5.8,17 reviews,1.1 km from downtown
