country,city,season,checkin,checkout,name,price,score,review_label,review_count,location
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Hotel Plaza la marsa,TND 160,6.7,Scored 6.7,9 reviews,16.2 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Dar El Marsa Hotel & Spa,TND 614,8.2,Very Good,640 reviews,15.9 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Dar Omi Aicha,TND 135,9.5,Exceptional,2 reviews,1.3 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Dar Ben Turkia,TND 547,9.7,Exceptional,102 reviews,1.2 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,The Penthouse Suites Hotel,TND 251,8.1,Very Good,570 reviews,7.3 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Tunis Grand Hotel,TND 317,7.2,Good,381 reviews,6.4 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Confortable S1 nouvelle soukra,TND 115,6.8,Scored 6.8,5 reviews,10.3 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Hôtel La Maison Blanche,TND 259,6.9,Scored 6.9,758 reviews,2 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Majestic Hotel,TND 285,7.7,Good,522 reviews,0.7 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Superbe appartement a ain zaghouen - proche aéroport,TND 142,10,Exceptional,5 reviews,9.7 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Appartement Haut standing S+3 - plein centre ville,TND 217,8.5,Very Good,54 reviews,0.9 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Captivating 2-Bed Apartment in Tunis,TND 309,8.7,Excellent,26 reviews,5.7 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Le Luxe de Jardin de Carthage,TND 163,7.2,Good,114 reviews,10.9 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Hotel Ibn Khaldoun,TND 160,7.2,Good,757 reviews,1.6 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Appartement Ettahrir,TND 97,8.5,Very Good,26 reviews,5.8 km from downtown
Tunisia,Tunis,May_Spring,2026-05-10,2026-05-11,Appartement privé dans une grande maison d'hote,TND 305,8.9,Excellent,30 reviews,12.2 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Hotel karim Tunis,TND 146,9.1,Wonderful,129 reviews,0.9 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Dar Ben Gacem,TND 339,9.0,Wonderful,528 reviews,1.7 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,El Mouradi Hotel Africa Tunis,TND 283,7.5,Good,"1,956 reviews",300 m from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Campus and Clinique Appart,TND 173,N/A,N/A,N/A,5 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,"Radisson Blu Hotel & Convention Center, Tunis",TND 520,8.6,Excellent,"1,013 reviews",0.9 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,"Radisson Hotel Tunis, City Center",TND 414,8.8,Excellent,593 reviews,150 m from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Hotel Carlton,TND 272,8.4,Very Good,"3,290 reviews",250 m from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Golf Royal Hotel,TND 268,8.0,Very Good,"2,986 reviews",250 m from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Dar Zyne- Maison d'hôte,TND 186,8.8,Excellent,107 reviews,1.2 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,"The 18, Marsa Guest House",TND 122,8.8,Excellent,219 reviews,16.3 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,The NINE Lifestyle Experience,TND 504,9.1,Wonderful,286 reviews,13.2 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Concorde Paris,TND 401,8.0,Very Good,"1,038 reviews",5.9 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Villa Belvedere,TND 229,9.5,Exceptional,213 reviews,2 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Le Parisien Tunis,TND 147,8.1,Very Good,643 reviews,1.1 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Sheraton Tunis Hotel,TND 520,8.5,Very Good,661 reviews,4.1 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,L'Orchidée - Suites de Luxe avec Piscine Chauffée et Vue sur le Lac de Tunis,TND 463,9.6,Exceptional,190 reviews,9.2 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,NEFISSA Résidence,TND 128,8.0,Very Good,43 reviews,9.5 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Downtown Tunis Hotel,TND 177,8.1,Very Good,"1,438 reviews",2.3 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Marigold Hotel,TND 314,8.2,Very Good,"2,412 reviews",2 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Golden Tulip El Mechtel,TND 358,8.1,Very Good,"1,963 reviews",1.9 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Hôtel LE CONSUL,TND 347,8.3,Very Good,192 reviews,1.9 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Kyriad Prestige City Center Tunis,"TND 2,436",8.6,Excellent,620 reviews,1 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Le National,TND 168,7.7,Good,"1,028 reviews",1.8 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Mövenpick Hotel du Lac Tunis,TND 671,8.2,Very Good,748 reviews,6.8 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Royal Victoria - Ex British Embassy,TND 279,8.2,Very Good,"1,344 reviews",0.9 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Dar Ben Gacem Kahia,TND 310,8.6,Excellent,547 reviews,1.7 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Hôtel Suisse Tunis,TND 185,8.7,Excellent,"2,573 reviews",0.7 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Dar Corniche La Marsa (Adults Only),TND 411,9.5,Exceptional,361 reviews,16.4 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,"Hotel Lac Leman, LES BERGES DU LAC",TND 314,7.0,Good,418 reviews,6.9 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Hotel AL KARMEL,TND 149,6.9,Scored 6.9,"1,515 reviews",1.7 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Le Corail Suites Hotel,TND 581,8.5,Very Good,"1,217 reviews",9.6 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Immocar Appartements,TND 102,N/A,N/A,N/A,10 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Confort moderne pour un séjour relax,TND 152,10,Exceptional,16 reviews,10.5 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Villetta di lusso in Tunisia,TND 853,8.6,Excellent,66 reviews,9.8 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Acropole Tunis,TND 303,7.6,Good,"1,663 reviews",6.1 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,My Second Home,TND 133,7.5,Good,43 reviews,10 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Dar El Kif - La Marsa,TND 356,8.9,Excellent,341 reviews,15.4 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Nomads Hostel Tunisia,TND 102,8.7,Excellent,986 reviews,2 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Signiature aparttement,TND 180,9.8,Exceptional,8 reviews,10.3 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,HOTEL LAFAYETTE,TND 164,7.6,Good,"1,072 reviews",1.5 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Hotel Afef,TND 85,5.5,Scored 5.5,193 reviews,1 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Bohème,TND 194,9.6,Exceptional,71 reviews,300 m from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Plaza la marsa,TND 220,6.5,Scored 6.5,191 reviews,16.2 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Hotel Métropole Résidence,TND 114,7.7,Good,450 reviews,0.8 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Ariha Hotel,TND 195,7.2,Good,157 reviews,2.2 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Seven Floors,TND 280,8.6,Excellent,107 reviews,10.3 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Hotel Tiba,TND 240,8.2,Very Good,931 reviews,0.5 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Concorde Les Berges du Lac,TND 468,8.0,Very Good,"1,104 reviews",5.7 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Confortable S1 nouvelle soukra,TND 115,6.8,Scored 6.8,5 reviews,10.3 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,hôtel LE PACHA,TND 196,6.6,Scored 6.6,665 reviews,2.1 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Dar Majoul,TND 155,8.9,Excellent,59 reviews,1.5 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Hôtel Lescure Business and SPA,TND 296,7.4,Good,414 reviews,6 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Business Hotel,TND 282,8.3,Very Good,941 reviews,2 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Ibis Tunis,TND 275,7.5,Good,541 reviews,1.2 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Hôtel le calife,TND 125,7.8,Good,"1,158 reviews",1.1 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Dar El Jeld Hotel and Spa,TND 656,9.5,Exceptional,791 reviews,1.6 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Duplex raffiné avec entrée privée,TND 100,10,Exceptional,3 reviews,10.1 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,La Chambre bleue,TND 248,9.4,Wonderful,105 reviews,1.4 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Terrazzino de Fatimides,TND 183,8.2,Very Good,5 reviews,10.7 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,حي الواحات سكرة الجديدة,TND 123,8.6,Excellent,41 reviews,10.1 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,"Private rooms in authentic apartment in Old town of Tunis, near Medina",TND 142,8.9,Excellent,204 reviews,0.8 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,MAIA HOTEL SUITES,TND 264,8.8,Excellent,"1,482 reviews",6.5 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Novotel Tunis Lac,TND 577,8.9,Excellent,308 reviews,9.8 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Hôtel Résidence Le Consul,TND 305,7.6,Good,88 reviews,1.7 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Hôtel des Alliés,TND 102,5.8,Scored 5.8,17 reviews,1.1 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Hotel Plaza la marsa,TND 203,6.7,Scored 6.7,9 reviews,16.2 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Dar El Marsa Hotel & Spa,TND 632,8.2,Very Good,640 reviews,15.9 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Le Petit Zphyr House near the beach,TND 354,8.3,Very Good,3 reviews,16.2 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Dar Omi Aicha,TND 135,9.5,Exceptional,2 reviews,1.3 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Dar Ben Turkia,TND 483,9.7,Exceptional,102 reviews,1.2 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Tunis Grand Hotel,TND 357,7.2,Good,381 reviews,6.4 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Dar Dorra,TND 322,9.3,Wonderful,345 reviews,1.6 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Hotel Royal ASBU Tunis,TND 453,8.0,Very Good,686 reviews,5.5 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,L'Hôtel Particulier La Marsa,TND 524,7.9,Good,22 reviews,15.4 km from downtown
Tunisia,Tunis,July_Summer,2026-07-10,2026-07-11,Hôtel La Maison Blanche,TND 321,6.9,Scored 6.9,758 reviews,2 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Immocar Appartements,TND 102,N/A,N/A,N/A,10 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Hotel karim Tunis,TND 146,9.1,Wonderful,129 reviews,0.9 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Lafayette City Studio,TND 132,N/A,N/A,N/A,1.5 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Dar Ben Gacem,TND 339,9.0,Wonderful,528 reviews,1.7 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,El Mouradi Hotel Africa Tunis,TND 283,7.5,Good,"1,956 reviews",300 m from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,"Radisson Hotel Tunis, City Center",TND 449,8.8,Excellent,593 reviews,150 m from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Dar Zyne- Maison d'hôte,TND 156,8.8,Excellent,107 reviews,1.2 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Golf Royal Hotel,TND 257,8.0,Very Good,"2,986 reviews",250 m from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Nomads Hostel Tunisia,TND 102,8.7,Excellent,986 reviews,2 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Hotel Carlton,TND 293,8.4,Very Good,"3,290 reviews",250 m from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Concorde Les Berges du Lac,TND 470,8.0,Very Good,"1,104 reviews",5.7 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Concorde Paris,TND 401,8.0,Very Good,"1,038 reviews",5.9 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Villa Belvedere,TND 220,9.5,Exceptional,213 reviews,2 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Le Parisien Tunis,TND 147,8.1,Very Good,643 reviews,1.1 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Sheraton Tunis Hotel,TND 550,8.5,Very Good,661 reviews,4.1 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,L'Orchidée - Suites de Luxe avec Piscine Chauffée et Vue sur le Lac de Tunis,TND 420,9.6,Exceptional,190 reviews,9.2 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Dar El Médina,TND 364,9.0,Wonderful,"1,324 reviews",1.5 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Hotel Royal ASBU Tunis,TND 634,8.0,Very Good,686 reviews,5.5 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,NEFISSA Résidence,TND 117,8.0,Very Good,43 reviews,9.5 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Downtown Tunis Hotel,TND 177,8.1,Very Good,"1,438 reviews",2.3 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Marigold Hotel,TND 318,8.2,Very Good,"2,412 reviews",2 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Golden Tulip El Mechtel,TND 335,8.1,Very Good,"1,963 reviews",1.9 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,"Radisson Blu Hotel & Convention Center, Tunis",TND 332,8.6,Excellent,"1,013 reviews",0.9 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Hôtel LE CONSUL,TND 347,8.3,Very Good,192 reviews,1.9 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Campanile El Mechtel Tunis,TND 263,8.1,Very Good,"2,495 reviews",1.8 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Royal Victoria - Ex British Embassy,TND 279,8.2,Very Good,"1,344 reviews",0.9 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Tunis Marriott Hotel,TND 567,8.4,Very Good,467 reviews,5.4 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Dar Ben Gacem Kahia,TND 310,8.6,Excellent,547 reviews,1.7 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Hôtel Suisse Tunis,TND 189,8.7,Excellent,"2,573 reviews",0.7 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Dar Corniche La Marsa (Adults Only),TND 411,9.5,Exceptional,361 reviews,16.4 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,"Hotel Lac Leman, LES BERGES DU LAC",TND 403,7.0,Good,418 reviews,6.9 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Mövenpick Hotel du Lac Tunis,TND 793,8.2,Very Good,748 reviews,6.8 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Hotel AL KARMEL,TND 149,6.9,Scored 6.9,"1,515 reviews",1.7 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Le Corail Suites Hotel,TND 593,8.5,Very Good,"1,217 reviews",9.6 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Confort moderne pour un séjour relax,TND 152,10,Exceptional,16 reviews,10.5 km from downtown
Tunisia,Tunis,September_LowSeason,2026-09-10,2026-09-11,Villetta di lusso in Tunisia,TND 541,8.6,Excellent,66 reviews,9.8 km from downtown
